"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","Basiswert.1","Basiswert.2","Name.Basiswert.1","Name.Basiswert.2"
"Apotheken-Dichte","insgesamt",2022,"Stadt München",4827.8,1588330,329,"Hauptwohnsitzbevölkerung (insgesamt)","Apotheken"
"Apotheken-Dichte","insgesamt",2022,"01 Altstadt - Lehel",945.8,20808,22,"Hauptwohnsitzbevölkerung (insgesamt)","Apotheken"
"Apotheken-Dichte","insgesamt",2022,"02 Ludwigsvorstadt - Isarvorstadt",2213.7,50915,23,"Hauptwohnsitzbevölkerung (insgesamt)","Apotheken"
"Apotheken-Dichte","insgesamt",2022,"03 Maxvorstadt",4020.7,52269,13,"Hauptwohnsitzbevölkerung (insgesamt)","Apotheken"
"Apotheken-Dichte","insgesamt",2022,"04 Schwabing - West",4900.2,68603,14,"Hauptwohnsitzbevölkerung (insgesamt)","Apotheken"
"Apotheken-Dichte","insgesamt",2022,"05 Au - Haidhausen",3521.3,63383,18,"Hauptwohnsitzbevölkerung (insgesamt)","Apotheken"
"Apotheken-Dichte","insgesamt",2022,"06 Sendling",5126.4,41011,8,"Hauptwohnsitzbevölkerung (insgesamt)","Apotheken"
"Apotheken-Dichte","insgesamt",2022,"07 Sendling - Westpark",5609.3,61702,11,"Hauptwohnsitzbevölkerung (insgesamt)","Apotheken"
"Apotheken-Dichte","insgesamt",2022,"08 Schwanthalerhöhe",3623.3,28986,8,"Hauptwohnsitzbevölkerung (insgesamt)","Apotheken"
"Apotheken-Dichte","insgesamt",2022,"09 Neuhausen - Nymphenburg",4369.3,100495,23,"Hauptwohnsitzbevölkerung (insgesamt)","Apotheken"
"Apotheken-Dichte","insgesamt",2022,"10 Moosach",6195.7,55761,9,"Hauptwohnsitzbevölkerung (insgesamt)","Apotheken"
"Apotheken-Dichte","insgesamt",2022,"11 Milbertshofen - Am Hart",6416.5,76998,12,"Hauptwohnsitzbevölkerung (insgesamt)","Apotheken"
"Apotheken-Dichte","insgesamt",2022,"12 Schwabing - Freimann",3954.6,79092,20,"Hauptwohnsitzbevölkerung (insgesamt)","Apotheken"
"Apotheken-Dichte","insgesamt",2022,"13 Bogenhausen",4964.1,94317,19,"Hauptwohnsitzbevölkerung (insgesamt)","Apotheken"
"Apotheken-Dichte","insgesamt",2022,"14 Berg am Laim",5893.5,47148,8,"Hauptwohnsitzbevölkerung (insgesamt)","Apotheken"
"Apotheken-Dichte","insgesamt",2022,"15 Trudering - Riem",9500.3,76002,8,"Hauptwohnsitzbevölkerung (insgesamt)","Apotheken"
"Apotheken-Dichte","insgesamt",2022,"16 Ramersdorf - Perlach",7033.6,119572,17,"Hauptwohnsitzbevölkerung (insgesamt)","Apotheken"
"Apotheken-Dichte","insgesamt",2022,"17 Obergiesing - Fasangarten",4905.8,53964,11,"Hauptwohnsitzbevölkerung (insgesamt)","Apotheken"
"Apotheken-Dichte","insgesamt",2022,"18 Untergiesing - Harlaching",6758.5,54068,8,"Hauptwohnsitzbevölkerung (insgesamt)","Apotheken"
"Apotheken-Dichte","insgesamt",2022,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",6317.9,101087,16,"Hauptwohnsitzbevölkerung (insgesamt)","Apotheken"
"Apotheken-Dichte","insgesamt",2022,"20 Hadern",6404.9,51239,8,"Hauptwohnsitzbevölkerung (insgesamt)","Apotheken"
"Apotheken-Dichte","insgesamt",2022,"21 Pasing - Obermenzing",5353.9,80309,15,"Hauptwohnsitzbevölkerung (insgesamt)","Apotheken"
"Apotheken-Dichte","insgesamt",2022,"22 Aubing - Lochhausen - Langwied",6068.8,54619,9,"Hauptwohnsitzbevölkerung (insgesamt)","Apotheken"
"Apotheken-Dichte","insgesamt",2022,"23 Allach - Untermenzing",6002.8,36017,6,"Hauptwohnsitzbevölkerung (insgesamt)","Apotheken"
