"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","Basiswert.1","Basiswert.2","Name.Basiswert.1","Name.Basiswert.2"
"Arzt*Ärztin-Dichte","Allgemeinmedizin",2022,"Stadt München",2187.78,1588330,726,"Hauptwohnsitzbevölkerung (insgesamt)","Ärzte*Ärztinnen für Allgemeinmedizin"
"Arzt*Ärztin-Dichte","Allgemeinmedizin",2022,"01 Altstadt - Lehel",365.05,20808,57,"Hauptwohnsitzbevölkerung (insgesamt)","Ärzte*Ärztinnen für Allgemeinmedizin"
"Arzt*Ärztin-Dichte","Allgemeinmedizin",2022,"02 Ludwigsvorstadt - Isarvorstadt",909.2,50915,56,"Hauptwohnsitzbevölkerung (insgesamt)","Ärzte*Ärztinnen für Allgemeinmedizin"
"Arzt*Ärztin-Dichte","Allgemeinmedizin",2022,"03 Maxvorstadt",1866.75,52269,28,"Hauptwohnsitzbevölkerung (insgesamt)","Ärzte*Ärztinnen für Allgemeinmedizin"
"Arzt*Ärztin-Dichte","Allgemeinmedizin",2022,"04 Schwabing - West",2286.77,68603,30,"Hauptwohnsitzbevölkerung (insgesamt)","Ärzte*Ärztinnen für Allgemeinmedizin"
"Arzt*Ärztin-Dichte","Allgemeinmedizin",2022,"05 Au - Haidhausen",1810.94,63383,35,"Hauptwohnsitzbevölkerung (insgesamt)","Ärzte*Ärztinnen für Allgemeinmedizin"
"Arzt*Ärztin-Dichte","Allgemeinmedizin",2022,"06 Sendling",1864.14,41011,22,"Hauptwohnsitzbevölkerung (insgesamt)","Ärzte*Ärztinnen für Allgemeinmedizin"
"Arzt*Ärztin-Dichte","Allgemeinmedizin",2022,"07 Sendling - Westpark",3427.89,61702,18,"Hauptwohnsitzbevölkerung (insgesamt)","Ärzte*Ärztinnen für Allgemeinmedizin"
"Arzt*Ärztin-Dichte","Allgemeinmedizin",2022,"08 Schwanthalerhöhe",1811.63,28986,16,"Hauptwohnsitzbevölkerung (insgesamt)","Ärzte*Ärztinnen für Allgemeinmedizin"
"Arzt*Ärztin-Dichte","Allgemeinmedizin",2022,"09 Neuhausen - Nymphenburg",2512.38,100495,40,"Hauptwohnsitzbevölkerung (insgesamt)","Ärzte*Ärztinnen für Allgemeinmedizin"
"Arzt*Ärztin-Dichte","Allgemeinmedizin",2022,"10 Moosach",3280.06,55761,17,"Hauptwohnsitzbevölkerung (insgesamt)","Ärzte*Ärztinnen für Allgemeinmedizin"
"Arzt*Ärztin-Dichte","Allgemeinmedizin",2022,"11 Milbertshofen - Am Hart",2566.6,76998,30,"Hauptwohnsitzbevölkerung (insgesamt)","Ärzte*Ärztinnen für Allgemeinmedizin"
"Arzt*Ärztin-Dichte","Allgemeinmedizin",2022,"12 Schwabing - Freimann",2636.4,79092,30,"Hauptwohnsitzbevölkerung (insgesamt)","Ärzte*Ärztinnen für Allgemeinmedizin"
"Arzt*Ärztin-Dichte","Allgemeinmedizin",2022,"13 Bogenhausen",2193.42,94317,43,"Hauptwohnsitzbevölkerung (insgesamt)","Ärzte*Ärztinnen für Allgemeinmedizin"
"Arzt*Ärztin-Dichte","Allgemeinmedizin",2022,"14 Berg am Laim",3626.77,47148,13,"Hauptwohnsitzbevölkerung (insgesamt)","Ärzte*Ärztinnen für Allgemeinmedizin"
"Arzt*Ärztin-Dichte","Allgemeinmedizin",2022,"15 Trudering - Riem",2923.15,76002,26,"Hauptwohnsitzbevölkerung (insgesamt)","Ärzte*Ärztinnen für Allgemeinmedizin"
"Arzt*Ärztin-Dichte","Allgemeinmedizin",2022,"16 Ramersdorf - Perlach",2717.55,119572,44,"Hauptwohnsitzbevölkerung (insgesamt)","Ärzte*Ärztinnen für Allgemeinmedizin"
"Arzt*Ärztin-Dichte","Allgemeinmedizin",2022,"17 Obergiesing - Fasangarten",3174.35,53964,17,"Hauptwohnsitzbevölkerung (insgesamt)","Ärzte*Ärztinnen für Allgemeinmedizin"
"Arzt*Ärztin-Dichte","Allgemeinmedizin",2022,"18 Untergiesing - Harlaching",2252.83,54068,24,"Hauptwohnsitzbevölkerung (insgesamt)","Ärzte*Ärztinnen für Allgemeinmedizin"
"Arzt*Ärztin-Dichte","Allgemeinmedizin",2022,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",2297.43,101087,44,"Hauptwohnsitzbevölkerung (insgesamt)","Ärzte*Ärztinnen für Allgemeinmedizin"
