"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","Basiswert.1","Basiswert.2","Name.Basiswert.1","Name.Basiswert.2"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2022,"Stadt München",1160,1298051,1119,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2022,"01 Altstadt - Lehel",146.8,17766,121,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2022,"02 Ludwigsvorstadt - Isarvorstadt",243.9,43667,179,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2022,"03 Maxvorstadt",427.3,45290,106,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2022,"04 Schwabing - West",480.7,58170,121,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2022,"05 Au - Haidhausen",724,52855,73,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2022,"06 Sendling",2168,34688,16,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2022,"07 Sendling - Westpark",4237.9,50855,12,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2022,"08 Schwanthalerhöhe",3471,24297,7,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2022,"09 Neuhausen - Nymphenburg",550.3,83091,151,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2022,"10 Moosach",11353.8,45415,4,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2022,"11 Milbertshofen - Am Hart",10467.5,62805,6,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2022,"12 Schwabing - Freimann",708.7,64492,91,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2022,"13 Bogenhausen",2538.1,76143,30,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2022,"14 Berg am Laim",6379.7,38278,6,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2022,"15 Trudering - Riem",5306.9,58376,11,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2022,"16 Ramersdorf - Perlach",23814.8,95259,4,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2022,"17 Obergiesing - Fasangarten",1612.3,45145,28,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2022,"18 Untergiesing - Harlaching",2514.8,45267,18,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2022,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",2835.6,82233,29,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2022,"20 Hadern",4646.8,41821,9,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2022,"21 Pasing - Obermenzing",970.2,64033,66,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2022,"22 Aubing - Lochhausen - Langwied",21211.5,42423,2,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2022,"23 Allach - Untermenzing",7008.8,28035,4,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2022,"24 Feldmoching - Hasenbergl",16565.3,49696,3,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2022,"25 Laim",2179.6,47951,22,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2021,"Stadt München",1189.1,1279466,1076,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2021,"01 Altstadt - Lehel",153.9,17694,115,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2021,"02 Ludwigsvorstadt - Isarvorstadt",255.9,43757,171,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2021,"03 Maxvorstadt",426.1,44737,105,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2021,"04 Schwabing - West",498.1,57780,116,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2021,"05 Au - Haidhausen",754.8,52083,69,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2021,"06 Sendling",1913.2,34437,18,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2021,"07 Sendling - Westpark",3567.2,49941,14,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2021,"08 Schwanthalerhöhe",4033.7,24202,6,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2021,"09 Neuhausen - Nymphenburg",572.4,82426,144,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2021,"10 Moosach",8956.4,44782,5,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2021,"11 Milbertshofen - Am Hart",10297.2,61783,6,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2021,"12 Schwabing - Freimann",696.5,63380,91,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2021,"13 Bogenhausen",2778.5,75020,27,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2021,"14 Berg am Laim",7604.8,38024,5,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2021,"15 Trudering - Riem",9576.2,57457,6,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2021,"16 Ramersdorf - Perlach",31431.3,94294,3,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2021,"17 Obergiesing - Fasangarten",1653.3,44638,27,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2021,"18 Untergiesing - Harlaching",2778.3,44453,16,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2021,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",2615.9,81094,31,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2021,"20 Hadern",5148.6,41189,8,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2021,"21 Pasing - Obermenzing",961.8,62514,65,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2021,"22 Aubing - Lochhausen - Langwied",13470.7,40412,3,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2021,"23 Allach - Untermenzing",6769.8,27079,4,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2021,"24 Feldmoching - Hasenbergl",16345.7,49037,3,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2021,"25 Laim",2625.2,47253,18,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2020,"Stadt München",1226.4,1282814,1046,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2020,"01 Altstadt - Lehel",169.5,17972,106,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2020,"02 Ludwigsvorstadt - Isarvorstadt",265.7,44364,167,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2020,"03 Maxvorstadt",448.1,45261,101,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
"Psychologische*r Psychotherapeut*in-Dichte","Erwachsene",2020,"04 Schwabing - West",489.4,58241,119,"Hauptwohnsitzbevölkerung (21 Jahre und älter)","Psychologische Psychotherapeuten (ohne Psychologische Kinder- und Jugendlichenpsychotherapeuten)"
